product_id,product_name,review_title,review_body,Score,sentiment,review_date,
FK001,Samsung Galaxy M15 5G (6GB RAM, 128GB),Great Value for Money,"The Samsung Galaxy M15 is a fantastic phone for the price. The 5G connectivity is fast, and the battery lasts all day. Camera is decent for casual photos.",5,positive,15-01-2025
FK002,boAt Rockerz 550 Headphones,Disappointing Sound Quality,"Expected better audio from boAt. The bass is weak, and the headphones feel cheap. Battery life is okay but not worth the price.",2,negative,03-02-2025,
FK003,Philips Air Fryer HD9252/90,Good but Overpriced,"Works well for frying snacks, but the price is a bit high for the features. Easy to clean, though, and the food tastes great.",3,neutral,22-03-2025,
FK004,Puma Men’s Running Shoes,Super Comfortable!,These Puma shoes are perfect for jogging. Lightweight and great cushioning. Worth every penny!,5,positive,10-04-2025,
FK005,Lenovo Ideapad Slim 3 (8GB RAM, 512GB SSD),Lags During Multitasking,"The laptop is sleek, but it struggles with heavy apps. Good for basic tasks, but don’t expect gaming performance.",3,neutral,07-05-2025
FK006,Saree Swarg Silk Saree,Stunning Design,This saree looks elegant and feels premium. Perfect for weddings. Fast delivery by Flipkart!,5,positive,19-06-2025,
FK007,Redmi Note 14 Pro,Camera Not Up to Mark,"The phone is fast, but the camera quality is poor in low light. Expected more from Redmi.",2,negative,01-07-2025,
FK008,Godrej 1.5 Ton AC,Cools Perfectly,Amazing cooling performance. Energy-efficient and quiet. Installation was smooth.,5,positive,02-08-2025,
FK009,Ray-Ban Sunglasses,Scratched Lens on Arrival,"The design is great, but one lens was scratched. Disappointing quality check by Flipkart.",1,negative,30-01-2025,
FK010,Prestige Electric Kettle,Decent for Daily Use,"Boils water quickly, but the build feels flimsy. Good for the price, though.",3,neutral,14-02-2025,
FK011,OnePlus Nord 3,Best Phone in Budget,"Smooth performance, great display, and fast charging. OnePlus nailed it with this one!",5,positive,05-03-2025,
FK012,HP Pavilion Laptop,Overheats Quickly,"The laptop looks premium, but it gets hot during extended use. Not great for heavy tasks.",2,negative,12-04-2025,
FK013,Lakmé Lipstick,Long-Lasting Color,Love the shade and texture. Stays on for hours. Highly recommend!,4,positive,20-05-2025,
FK014,Whirlpool Refrigerator,Noisy Compressor,"The fridge cools well, but the compressor makes a loud noise. Expected better from Whirlpool.",3,neutral,15-06-2025,
FK015,Nike Sports T-Shirt,Perfect Fit,Breathable fabric and stylish design. Great for workouts!,5,positive,10-07-2025,
FK016,Apple iPhone 15,Overpriced for Features,"The iPhone 15 is smooth, but the upgrades are minimal for the price. Camera is good, though.",3,neutral,01-08-2025,
FK017,Sony Bravia 55-Inch TV,Stunning Picture Quality,"The 4K display is crisp, and the sound is immersive. Worth the investment!",5,positive,25-01-2025,
FK018,Adidas Track Pants,Poor Stitching,"The pants are comfortable, but the stitching came apart after a week. Disappointed.",1,negative,28-02-2025,
FK019,Borosil Glass Set,Elegant and Durable,These glasses are stylish and sturdy. Perfect for daily use.,4,positive,15-03-2025,
